imfuziselo utshintshiselwano
ukungathandi ukunqena
okungathandi -nqena
yethembela -thembela
susa -susa
veza -bonisa
veza -yenza
zala ukuvelisa
phikisa -khanyela
dingeka -funa
ucwaningo uphando
isigcinamanzi idama
hlala -hlala
umhlali umhlali
insalela intlenge
ingcebo ubutyebi
zwela -sabela
impendulo ukusabela
buyisa -buyisela
bamba -nqanda
thiba -nyine
umphumela isiphumo
qala -qesha
libazisa -libazisa
veza -bhengeza
imali ingeniso
ukuduma -hlokomisa
okuphambene -eguqulayo
funda -phengulula
ukuvukela uvukelo
uguquko inguquko
gxila -jikeleza
ngaguquki eqinileyo
ubunzima ubukhali
umgudu indlela
okwakudala -eqalayo
isijeziso isohlwayo
isishwibeyana isathelayithi
dadazisa manzisa
skena -velisa
ubunjalosimo uyilo
shedula -faka
iskima isikema
isikimu ulungiselelo
umklamo umda
khiqiza -khupha
yehlukanisa -ahlula
umkhakha icandelo
thola -qinisekisa
funa inxenye
izenga ilungu
okukhethiwe -khetha
hlukanisa ukwahlula
ukulandelana -ahlula
ukulandelana uluhlu
ukugudluka -tshintsha
okubalulekile utshintsho
mela -ebalulekileyo
fanayo ebufana
lingisa -zenzisa
kanye ngaxeshanye
isiza isiza
ugebhezi bubugoxo
dweba ukuzoba
engula -funda
xazulula -combulula
okunzima -ephixeneyo
isisusa umthombo
okuthinta -eyesithuba
okucacile -ekhethekileyo
cacisa -balula
ispekthramu uluhlu
qagela -thelekelela
imbulunga isazinge
UNK UNK
lamba -bulala
isimo imo
isitatimende ingxelo
ngahambiyo -mileyo
izibalo iinkcukacha
khuthaza -khuthaza
beka -balula
okusobala -ngokuthe
okuyicebo -ngobuchule
UNK isicwangciso-cebo
ugqinsi umgangatho
yehlukanisa -ahlula
okuchemile -yakhe
thumela -thobela
yehliswa -thobela
ukuhlukunyezwa uthobelo
ngemuva -elandelayo
uxhasomali -exhasayo
ithathandawo ibamba
isihlokwana amagama
okunobuhlakani -cwangcisa
phumelela phumelela
okulandelanayo -landelelanayo
ongena umlandeli
ukulingana -anela
okwanele ukwanela
umphumelasihlanganiso -futshanisa
UNK -shwankathela
okungagxilile -engaphelelanga
ukuhlanganisa -beka
isikhulu umongameli
isithasiselo isongezelelo
insika ukuxhasa
cabanga -qikelela
fihla -cinezela
okubanzi -eyona
ingaphezulu umphezulu
umklamo uphando
phila ukuphila
lengisa ukujingisa
gcina ukugcina
qhafaza iqhosha
mela qondisa
ukwenza UNK
okuhlelekile -ngendlela
ithebhula isicwangciso
okuyithebula -ngoluhlu
beka ukucwangcisa
okuphathekayo -phathekayo
ithagethi abathengi
umsebenzi umsebenzi
okulukhunyana -eyobuchule
ubuchwepheshe izifundo
okwesikhashana -okwexesha
okungaqinile -ethandabuzayo
ukuqeda -phelisa
amatemu isigama
umbhalo incwadi
ubunjalo ubume
itisizi ithisisi
okuphelele -cokisekileyo
okungenasikhathi -engenasiphelo
ngesikhathi -ngexesha
landisa chaza
isiko isiko
isici isimo
ukwedlulisela unikezelo
guqula -guqula
UNK inguqulelo
bonakala iyabonisa
hlanganisa -sebenzisa
okufanele -eyona
okokugcina -eyokugqibela
sekela -seka
okufanayo -efanayo
okuwujikelele -enyanisekileyo
ukusetshenziswa usetyenziso
sebenzisa -sebenzisa
okukhulu -ngokupheleleyo
okwamukelekile okunyanisekisiweyo
qinisekisa -misa
ukubaluleka ixabiso
umthambo ngunobuyisa
isihumusho inguqulelo
okubonakalayo imbonakalo
okuyisinga -eyilwe
cishe -ngenyani
okubonwayo into
okwempilo -ebalulekileyo
amagama isigama
izinga umthamo
hoxisa -rhoxa
UNK UNK
i-aphosteriyori inkolelo
i-aphriyori ummiselo
okwesikhashana isindululo
okuhlaziyayo ngokohlalutyo
isiphakamiso inkcazo
indlelakubukeka inkangeleko
umbonobufakazi ingxoxo-mpikiswano
umfuziselo imifuziselo
ukuzimela ukuzilawula
isenzeko inguqu-nguquko
ubukhona unaphakade
izigaba ulwahlulo
ukubangela imbangi
bangela unobangela
ushintsho utshintsho
okwakudala okwakudala
okucabangayo ingqiqo
i-cogito ndingumntu
incazelo inkcazo
okuncikile okunokwenzeka
ikhophi ingcingane
ukuveza ingxoxo-mpikiswano
imali ufikelelo
ukuveza ingxoxo-mpikiswano
imigomo iinqobo
imfundisokuqageleka unxulumano
ukuhlaziya ukufunyaniswa
ingxoxo incoko-mpendulwano
ubumbaxambili ulwahlulo
UNK ingcingane
ingqikithi undoqo
intokozo ixabiso
ukuhambisana ukuhambisana
iyudayimoniya uvuyo
cwaninga linga
akha bumba
izindlela unxulumano
umbonosisekelo inkolelo
inkululeko inkululeko
okuzenzakalelayo okuzenzekelayo
okuthokozisayo okumnandi
intokozo ubumnandi
indida uvume-phika
i-ayidiyelizimu okomoya
ukuveza ingxoxo-mpikiswano
imibono ingcingane
ucwaningo ingcingane
ukubheka uluvo
umuntu umntu
inkolokubona inkolelo
okwemigomongqangi inzululwazi
imigomongqangi inzululwazi
indlela umgaqo
inkinga ingxaki
iqiniso inyaniso
ucwaningo inkolelo
inominelizimu ingcingane
ukuveza ingxoxo-mpikiswano
ukucwaninga inzululwazi
indlelakuhumusha ingqiqo
umphakathi uluntu
umnyakazisingqangi umdali
isiphakamiso intsingiselo
intokozo ingcingane
isayensi inkolelo
ucwaningo inyaniso
Ukuvela Uvuselelo
ubugagu ukucikoza
ucwaningo uphuhliso
ulwazi iinkcukacha
ubunqikanqika amathandabuzo
indlela umgaqo
okuzenzakalelayo ukwenza
ubumina ingcingane
isofistri ukuphila
amasofisti ootitshala
istoyikhi imfundiso
amastoyikhi iingqondi
utho into
kokuzenzela uzenzele
ukungazi ukungazi
incazelo inkcazelo
izinhlelo iinkqubo
inzululwazi uluvo
ukuqinisekisa ukunyanisekisa
istoyisizimu imfundiso
isenzo ukuthatha
UNK inkqubo
abaholi igunya
impikiswano ungquzulwano
umdonsiswano umzabalazo
iqoqo udidi-oluzazi-ngokuzimanya
iqoqo udidi-olufana-ngemveliso
amakoloni izithanga
ukuvumelana isivumelwano
izinqubo iziko
ukuphikisa ukutyhilwa
inqubo inkqubo
isahlukaniso uqhawulo-mtshato
izikhungo iziko
uguqukozimpawu uphuhliso
ukunweba ukubeka
amaqiniso iinyaniso
umndeni usapho
ubufazane ubunenekazi
okuhambisana ifuthe
ubulili ubudlelwane
uhlobo uhlobo
UNK iziko
ukumisa ukuqhuba
ithiyori ingcingane
ukudidiyela umanyaniso
ukufaka intsingiselo
izikhungo amaziko
igunya igunya
umhlaba ihlabathi
ubumbano ubunye
ukwemuka imfuduko
indlela umgaqo
ukungavumelani ukuziphatha
UNK usapho
UNK ukungathath'
uhlelo ingqiqo
ubumbano ubumbano
umnotho uqoqosho
emuva emva
izinsiza izixhobo
iphrolithariyethi amahlwempu
inkambiso inkqubo
okwesikhashana okwangoku
ubudlelwano unxulumano
okuthenjelwa ukuthembeka
inqubo inkqubo
izinsiza izixhobo
ukukhula ilungelo
ubulili isini
ukwakheka inkolelo
izikhungo amaziko
ukuxhumana intsebenziswano
ababukeka amaqela
umoya umoya
isidleke isamkeli-ncindi
izikhungo amaziko
ithiyori ingcingane
okwehlukile ukufana
uhlelo inkqubo
okweqile intsalela
uhlelo isixokelelwano
abangenalutho ukungabi
abanotho ukuba
ubuholi igunya
i-underclass udidi
ubuqiniso isakhono
ubugugu okufanelekileyo
ama-akhawunti UNK
inqubo UNK
umabhalane UNK
umgomokubika UNK
umjikelezo UNK
okubhalwe UNK
isilinganisokubala UNK
isikhathi UNK
izinqubomigomo UNK
amarekhodi UNK
isikhathi UNK
umbiko UNK
uhlelo UNK
ithiyori UNK
ukuphathwa UNK
uphiko UNK
ama-akhawunti UNK
umgomokubika UNK
imali UNK
izindleko UNK
ingeniso UNK
ukwehla UNK
ukulahlekelwa UNK
okubhaliwe UNK
ikhalamu UNK
i-akhawunti UNK
inombolo UNK
ibhalansi UNK
uhlu iphepha
isamba UNK
i-akhawunti UNK
ibhalansi UNK
ikhalamu UNK
igunyakweqisa UNK
isitatimende UNK
isitatimende UNK
umjikelezo UNK
umnyango UNK
inqubo UNK
isheke UNK
okwenza UNK
i-akhawunti i-akhawunti
imali UNK
isamba UNK
i-akhawunti UNK
ibhuku UNK
umabhalane UNK
ukulawulwa UNK
imali UNK
umsebenzi UNK
isicelonkokhelo UNK
ijenali UNK
imali UNK
inqubomgomo UNK
ukukhokha UNK
ijenali UNK
ijenali UNK
isisefo UNK
iphepha UNK
ivawusha UNK
ishadi UNK
ibhuku UNK
umasalebhukwini UNK
inombolo UNK
inkampani UNK
ibhalansi UNK
isitokwe UNK
ijenali UNK
ukudlulisa UNK
isamba UNK
okuqoshwe UNK
ingeniso UNK
iyunithi UNK
ingeniso UNK
ukubhaliswa UNK
UNK UNK
umgomokubika UNK
intela UNK
i-akhawunti UNK
i-akhawunti UNK
ingeniso UNK
i-akhawunti UNK
ukusebenza UNK
amanani UNK
ibhalansi UNK
ikhredithikhadi UNK
ivawusha UNK
okuqoshwe UNK
isicelonkokhelo UNK
umbhalo UNK
inqubomgomo UNK
ukuthenga UNK
ukuthengisa UNK
imigomo UNK
ukufaneleka UNK
ijenali UNK
ukulawulwa UNK
ijenali UNK
ileja UNK
uqhathanisosimozimali UNK
i-akhawunti ikharenti
impahla UNK
izindleko UNK
izindleko UNK
ibhalansi UNK
ikhadi i-debit
ivawusha UNK
okuqoshwe UNK
idebhithi umyalo
ijenali UNK
ukulawulwa UNK
ijenali UNK
ileja UNK
uqhathanisosimozimali UNK
i-akhawunti UNK
isiliphu UNK
ingeniso UNK
uhlelokuhlonza UNK
uhlelo UNK
isibambiso UNK
umgomokubika UNK
imihlomulo UNK
ukuDluliswa UNK
umhlomulo UNK
utshalomali UNK
okungabandakanyi UNK
ukukhululwa UNK
izindleko UNK
ikhasimende UNK
izindleko UNK
ubalozimali UNK
umabhalane UNK
ulwazi UNK
umphathi UNK
ukusebenza UNK
isimo UNK
isikhungo UNK
izinsiza UNK
imiphumela UNK
isitatimende UNK
ukuphela UNK
imali UNK
ikhalamu UNK
inombolo UNK
ukuthengisa UNK
ijenali UNK
ileja UNK
iMigomo UNK
okuqhubeka UNK
ingeniso UNK
inzuzo UNK
okwenzeka UNK
inaningqangi UNK
imihlomulo UNK
ukulahlekelwa UNK
uhlelo UNK
okubandakanya UNK
isitatimende UNK
ingeniso UNK
ingeniso UNK
izintela iirhafu
i-akhawunti UNK
umuntu UNK
umuntu UNK
i-akhawunti UNK
utho UNK
ifa UNK
ukukhokhwa UNK
imali UNK
izindleko UNK
inzalo UNK
izinga izinga
inzalo UNK
inqubo UNK
ulwazi UNK
iBhodi UNK
iMigomo UNK
i-akhawunti UNK
ukushoda UNK
inombolo UNK
ukushintshisana UNK
okuqoshwe UNK
ukuchazwa UNK
i-akhawunti UNK
okwesikhathi UNK
imali UNK
ukuphathwa UNK
isilinganiso UNK
ifomu UNK
ibhalansi UNK
imali UNK
impahla UNK
umthelela UNK
ingeniso UNK
umphumela UNK
imali UNK
irejista UNK
izikweletu UNK
okungenzinzuzo UNK
umhlinzeki UNK
ibhalansi UNK
impahla UNK
imali UNK
isikhungo UNK
ukulahla UNK
isicelonkokhelo UNK
isicelonkokhelo UNK
umbhalo UNK
isicelonkokhelo UNK
elinye UNK
okunye UNK
imali UNK
ibhalansi UNK
isikweletu UNK
imali UNK
i-akhawunti UNK
uhlelo UNK
uhlelokubala UNK
i-akhawunti UNK
uhlelo UNK
imadlana UNK
ibhuku UNK
ivawusha UNK
ibhalansi UNK
ukulahlekelwa UNK
isiqinisekomali UNK
isiqinisekomali UNK
isiqinisekomali UNK
imali UNK
usuku UNK
isilinganiso UNK
izindleko UNK
inani UNK
umbhalo UNK
ukubala UNK
inzuzo UNK
ukuklanywa UNK
umgomokubika UNK
i-akhawunti UNK
inani UNK
umgomokubika UNK
ibhuku UNK
inqubo UNK
isitatimende UNK
inqubo UNK
intela UNK
ulimi UNK
isikhathi UNK
imbuyiselo UNK
isheke UNK
ukubuyiswa UNK
ukubuyiswa UNK
isiginesha UNK
imibhalo UNK
ukwabiwa UNK
inani UNK
isikhungo UNK
isaphulelo UNK
isikhashana UNK
isikhungo UNK
umninibhizinisi UNK
umhwebi UNK
umbhalo UNK
iSikhungo UNK
iSikhungo UNK
uPhiko UNK
isilinganisomali UNK
isitatimende UNK
isitatimende UNK
isitatimende UNK
isitatimende UNK
uhlelo UNK
ibhuku UNK
inqubo UNK
i-akhawunti UNK
imphahla UNK
inqubo UNK
umuntu UNK
impahla UNK
ukuhweba UNK
umkweleti UNK
isaphulelo UNK
okutholakele UNK
i-akhawunti UNK
inkathazo UNK
isikhungo UNK
isigaba UNK
isitatimende UNK
umjikelezo UNK
isiqinisekomali UNK
ibhalansi UNK
umthetho UNK
inani UNK
ukuqoqwa UNK
i-akhawunti UNK
umjikelezo UNK
okungafakiwe UNK
okufakwe UNK
intela UNK
intela UNK
ukukhokhwa UNK
inqubo UNK
inombolo UNK
UNK UNK
indlela UNK
ukubhaliswa UNK
ukuqoshwa UNK
inqubo UNK
okungakhokhelwa UNK
isibalo UNK
inqubo UNK
isikhathi UNK
UNK UNK
UNK UNK
ibhuku UNK
i-DZM UNK
i-MHEJ UNK
i-BMHEJ UNK
i-IMKMZMJ UNK
i-SNBNA UNK
i-PNNA UNK
UNK UNK
i-akhawunti UNK
ukumunca ufunxo
ishayamhlolweni UNK
uketshezi iasidi
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
uketshezi isinxilisi
UNK UNK
UNK UNK
isithomalalisi isithomalalisi
UNK UNK
njenge ethomalalisa
UNK UNK
UNK UNK
upharafini iparafini
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
uketshezi i-itha
UNK UNK
uhlobo iesta
UNK UNK
UNK UNK
UNK UNK
UNK UNK
inhlanganisela umxube
umsebe UNK
UNK UNK
ialuminiyamu ialuminiyami
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
okungenasimo UNK
UNK UNK
UNK UNK
isihlaziyo UNK
-komile eyomileyo
i-enayoni UNK
ikhanda ianodi
UNK UNK
uhlobo igesi
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
umsukantozonke iathom
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
umsebe UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
bilisa bila
UNK UNK
UNK UNK
ibhondi ibhondi
UNK UNK
UNK UNK
UNK UNK
UNK UNK
ibhromayini UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
isakhimcako ikhalsiyam
UNK UNK
umcako ikalika
isikhuthazimandla isakhamzimba
ikhabhoni isilahle
isikhuthazinguquko isiphembeleli
ikhathodi UNK
ikhethayoni UNK
dlavuzayo evutha
usota isoda
UNK UNK
UNK UNK
UNK UNK
UNK UNK
umlilogesi UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
isihlanzamanzi iklorini
UNK UNK
UNK UNK
ikhabhali isinyithi
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
ukujiyisa ukujiya
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
ithusi ikopolo
ukudleka ukudlakazeka
UNK UNK
iqhuzwana uhlalutye
UNK UNK
okusaqhuzwana elihlalutye
UNK UNK
UNK UNK
UNK UNK
umsinga umsinga
isayklothroni UNK
ukubolisa ukubola
UNK UNK
ukuncishelwa ukomisa
isisindomthamo ubunzima-mthamo
idayamaginethizimu UNK
i-athomimbili UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
ukuhlwanyela UNK
UNK UNK
UNK UNK
ukuthonsisa ucocomanzi
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
ukucwenga ukuguqulwa
umbhubhudlogesi ulwelo
UNK UNK
UNK UNK
UNK UNK
inhlansi ielektroni
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
ukwemboza ukwaleka
UNK UNK
okubambekayo UNK
UNK UNK
okuphathelene UNK
UNK UNK
inanikushisa UNK
UNK UNK
UNK UNK
UNK isiphembeleli-lutshintsho
isibalokulingana UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
hwamuka ukuba
umhwamuko ukwenzeka
okuphathelene UNK
ukubilisa ukunyusa
UNK UNK
UNK UNK
UNK UNK
ukucwenga uhluzo
UNK UNK
UNK UNK
UNK UNK
iflorayini UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
ukwenzaqhwa khenkca
UNK UNK
ukushisela UNK
UNK UNK
UNK UNK
UNK UNK
umsebe UNK
igesi igesi
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
indiza iglasi
igolide igolide
isikalasisindo umyinge
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
ukushisa fudumeza
UNK UNK
UNK UNK
UNK UNK
ukwehlukahlukana UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
ihayidrojini umngxengamoya
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
okungafunekiyo isibi
inkombasimo isikhombisi
UNK UNK
ngathi ukungashukumi
UNK UNK
UNK UNK
okungakaze UNK
ngancibiliki enganyibilikiyo
UNK UNK
iayodini iayodini
inhlansigesi isuntswana
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
insimbi intsimbi
UNK UNK
i-ayisothophi UNK
inyuklayidi UNK
UNK UNK
UNK UNK
umfutho amandla
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
umthetho UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
hola khokela
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
umcako ikalika
uketshezi ulwelo
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
imagineziyamu imagniziyam
UNK UNK
UNK UNK
isisindo ubunzima
UNK UNK
into into
UNK UNK
UNK UNK
UNK UNK
iminisikasi igophe
isigidi imetyhuri
insimbi intsimbi
UNK UNK
okuhlanganisekayo exubekayo
ingxube umxube
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
inhlayiyana isuntswana
UNK UNK
inhlayiyana isuntswana
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
thena ukungxenga
UNK UNK
inyuthroni UNK
insimbi uhlobo
UNK UNK
inayithrethi UNK
UNK UNK
inayithrojini inayitrojini
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
umongo UNK
UNK UNK
okomzila UNK
okunokuphila UNK
UNK UNK
i-osmosisi UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
isisi umxube
UNK UNK
UNK UNK
umoyampilo umongomoya
UNK UNK
ifakabuthe UNK
UNK IpH
ifosiforasi ifosforasi
UNK UNK
inhlayiyakukhanya UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
ipholima intlaka
ukwenzeka izakhi-athom
UNK UNK
iphotheziyamu UNK
umdlandla UNK
UNK UNK
ukuzikisa ukuhlenga
ukunemba UNK
ingcindezi uxinzelelo
umkhiqizo UNK
UNK UNK
UNK UNK
iphrothoni UNK
UNK UNK
uhlaziyonombolo UNK
UNK UNK
ikhwantamu UNK
UNK UNK
ukuziphumela ukusasazeka
UNK UNK
UNK UNK
UNK UNK
UNK UNK
isishisamdlavuza ichiza
UNK UNK
UNK UNK
UNK UNK
UNK UNK
imvukuzakwenza UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
inomfi intlaka
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
usawoti ityuwa
UNK UNK
UNK UNK
UNK UNK
UNK UNK
umbhubhudlo umxube
UNK UNK
UNK UNK
UNK UNK
UNK UNK
isingasidlulisagesi UNK
UNK UNK
igobolondo iqokobhe
UNK UNK
UNK UNK
UNK UNK
UNK UNK
isilikhoni isilikhon
isiliva silivere
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
qinile qinileyo
ukuncibilika unyibiliko
UNK UNK
nokuncibilika nyibilikayo
okuncibilikiswayo into
ukuncibilikiswa isinyibiliko
UNK UNK
isincibikilisi isinyibilikisi
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
ukweqa UNK
isibabuli isibabile
UNK UNK
UNK UNK
isasipenishini izixhasi
UNK UNK
UNK UNK
UNK UNK
izingakushisa iqondo
UNK UNK
UNK UNK
ubudlelwane UNK
UNK UNK
UNK UNK
UNK UNK
ikopi inkonkxa
UNK UNK
UNK UNK
nobuthi -netyhefu
UNK UNK
UNK UNK
UNK UNK
ithangisteni iingcingwana
UNK UNK
UNK UNK
UNK UNK
iyureniyamu isinyithi
okuyivalensi UNK
UNK UNK
UNK UNK
UNK UNK
umhwamuko umphunga
UNK UNK
UNK UNK
hwamukayo etsha
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
UNK UNK
izenke isinyithi
UNK UNK
"dlala "dlala
"intando "ukuzimisela
ulayini umgca
ulayini umgca
umgomo umgaqo
amandla uncedo
amandla uncedo
ukulingana ukulingana
ukungalingani ukungalingani
intengo intengo
ukwehlukanisa ukukhupha
inkolelo ingcinga
ithiyori ingcingane
ikhofishiyenti inani
ithiyori ingcingane
bika iakhawunti
isilinganiso inzuzo
amabhalansi iibhalansi
ukukhula uhlumo
utshalomali utyalomali
okugodliwe oovimba
igwinci igophe
izintela iirhafu
intela irhafu
ihayiphotheisi ingcinga
ithiyori ingcingane
amaphekisi izibopheleli
ukukhetha ukhetho
inkinga ingxako
ukukhangisa upapasho
indlela inkqubo
isitolo iarhente
izidingo ingqokelela
igwinci igophe
indlela umzekelo
ifankshini ifankshini
indlela umzekelo
izindleko ingqokelela
isheduli ishedyuli
indlela indlela
ukusebenzisa ingqokelela
ukuphakela ingqokelela
igwinci igophe
igwinci igophe
ukushaqeka iimothuko
ukupheleliswa ukuqokelela
incophelelokwaba ukwabiwa
umgomo ifankshini
amathiyori iingcingane
ukunikela ukucingela
ukulawulwa imigangatho
isabelomali uqingqo-mali
ukwehla ukunyuka
imithetho imithetho
inqubomgomo umgaqonkqubo
ukudlondlobala ukunyuka
i-arbitrage i-arbitrage
isilinganiso umlinganiselo
isilinganiso umlinganiselo
isilinganiso umlinganiselo
igwinci Igophe
imali imali
izimpahla iimpahla
ulwazi ulwazi
ukushaqeka umothuko
izikhungo amaziko
iziqinisimali izizinzisi
ukuthenga ukusebenzisa
ukungenisa impahla
ukusebenzisa inkcitho
i-avareji umndilili
inqubomgomo ukubeka
i-avareji umdilili
ukubeka umndilili
ukunwebeka umndilili
i-avareji umndilili
i-avareji umndilili
i-avareji umndilili
i-avareji umndilili
i-avareji umndilili
i-avareji umndilili
i-avareji umndilili
isilinganisonani umndilili
i-avareji umndilili
abasebenzi imikrozo
iqoqakuqoshwa ibhalansi
i-akhawunti iakhawunti
izinqinamba ukungakhululeki
ibhalansi ibhalansi
ukuzinza uzinzo
ibhalansi ibhalansi
ibhalansi ibhalansi
ibhalansi Ibhalansi
ibhalansi ibhalansi
ibhalansi ibhalansi
ibhalansi ibhalansi
ibhalansi ibhalansi
ibhalansi ibhalansi
ukulingana uqingqomali
idefisithi intsilelo
insalela intsalela
isilinganiso umba
amabhili iibhili
amadiphozi iidipozithi
okuphindaphindayo isiphindi
okugodlwe oovimba
ibhange ibhanki
ubuholi ubukhokheli
isivimbo isithintelo
ukushintshina naniselana
umnotho uqoqosho
unyaka unyaka
unyaka unyaka
indlela indlela
amanani lintengo
izinga izinga
ama-ikhweyishini imilinganiso
amathiyori iingcingane
nikeza uncedo
umgomo umgaqo
izinga izinga
imihlomulo uncedo
umgomo umgaqo
igunyakwenza ulawulo
umyalelokukhokha ibhili
izimakethe imalike
amabala iindawo
IBhodi Ibhodi
isicongokuchuma ukunyuka
okukhulisa iinkxaso
ukuboleka ukuboleka
ukwephula ukuchwechwa
ukufudukela ukuphuma
ukulingana ukulingana
imali ingeniso
umkhiqizo isiphumo
uhlelo UNK
izincazelo iinkcazo
imali imali
ingcindezi isithintelo
ukweqa intsilelo
grafu umgca
insalela intsalela
isitokwe izitokhwe
isisimamisi isizinzisi
umthwalo umthwalo
umthwalo umthwalo
ibhizinisi ishishini
isiyingi umjikelo
ifemu umzimveliso
ubunyonyana umbutho
ukuthenga thenga
ingqalabhizinisi inkunzi
idefisithi intsilelo
i-akhawunti iakhawunti
ukusetshenziswa ukusetyenziswa
ukubaleka uphapho
izimpahla iimpahla
isitokwe isitokhwe
umkhiqizo impahla
izinga ulwalamano
intuthuko impucuko
intuthuko impucuko
isilinganiso uncedo
umbimbi iqumrhu
imbangela unobangela
umyalo umyalelo
intengo elona
ibhange ibhanki
ukuhlela ucwangciso
uhlelo inkqubo
umnotho ucwangciso
izitifileti izatifiketi
i-ceteris xa
umcabango isigqibo
ukushintsha inguqu
inguquko inguqu
inguquko inguqu
inguquko inguqu
inguquko inguqu
inguquko inguqu
i-akhawunti itsheki-akhawunti
ukushintsha ixesha
idiphozi itsheki-diphozithi
umphindaphindi iphindaphindomali
indlela umzekelo
indlela umzekelo
abathola umamukeli-ncedo
izinhlelo uqoqosho
uhlelo inkqubo
umnotho uqoqosho
isitolo apho
ithiyoremu ingcingane
ukushayisana ukudibana
i-COLA i-COLA
izingxoxo iingxoxo
izwi isigqibo
ukududana iyelenqe
i-oligoli iyelenqe
ukukhipha iyelenqe
uhlelo inkqubo
uhlelo inkqubo
izinhlelo iinkqubo
ukuthengiselana orhwebo
ifemu ibhanki
uhlelo inkqubo
amabhili iibhili
ukuthengiselana utshintshelo
imakethe imalike
isilinganiso umlinganiso
ubukomanisi ubukomanisi
ikhomanisi UNK
inkampani inkampani
amandla inzuzo
amandla indleko
ukunxephezela iimahluko
isinxephezelo imbuyekezo
umncintiswano ukhuphiswano
umncintiswano ukhuphiswano
inqubomgomo umgaqonkqubo
umumo imekobume
imakethe imalike
izimpahla iimpahla
ukuphindaphindeka ukuphindana
isu ubuchule
ireshiyo ulwalamano
ukuhlangana umanyano
amafemu iimbumba
imboni ishishini
intengo iintengo
izindleko indleko
umthengi umsebenzisi
inguganaboya impahla
ukulingana uzinzo
ukusetshenziswa inkcitho
izimpahla iimpahla
inkomba isalathiso
umbuso ubungangamsha
ukusebetshenziswa intsebenziso
imali intsalela
ingxenye isabelo
ukusetshenziswa intsebenziso
imali inkcitho
ifankshini ifankshini
ukusebenzisa intsebenziso
ukusebenzisa intsebenziso
ishejuli ishedyuli
imali inkcitho
inqubomgomo umgaqonkqubo
